City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
537,gat,31.61,34.7642,77.77,72.39,100,8.59,IL,1669013295
538,san angelo,31.4638,-100.437,39.94,37.6,100,3.0,US,1669013296
539,luau,-10.7073,22.2247,72.0,72.0,100,4.09,AO,1669013297
540,montauban,44.0833,1.5,46.0,46.0,100,9.62,FR,1669013297
541,minas,-34.3759,-55.2377,64.69,64.69,100,3.67,UY,1669013298
542,dubti,11.7361,41.0853,84.0,84.0,0,11.88,ET,1669013299
543,pemangkat,1.1667,108.9667,84.38,84.38,71,12.21,ID,1669013299
544,gheorgheni,46.7167,25.6167,34.75,34.75,100,4.9,RO,1669013300
545,puerto el triunfo,13.2833,-88.55,75.16,75.16,100,6.38,SV,1669013301
546,karasburg,-28.0167,18.75,79.99,79.99,100,5.19,,1669013301
547,terrace,54.5163,-128.6035,30.11,30.11,100,0.0,CA,1669012706
548,huron,41.1501,-82.5499,24.98,15.66,0,11.1,US,1669013302
549,bako,5.7833,36.5667,76.5,76.5,24,1.52,ET,1669013303
550,shingu,33.7333,135.9833,64.38,64.38,80,2.53,JP,1669013304
551,morant bay,17.8815,-76.4093,80.22,80.22,39,8.23,JM,1669013304
552,warrnambool,-38.3833,142.4833,50.04,50.04,96,29.66,AU,1669013305
553,carupano,10.6678,-63.2585,74.52,74.52,17,5.88,VE,1669013306
554,ouadda,8.0777,22.4007,83.84,83.84,58,6.46,CF,1669013306
555,borovskoy,53.8,64.15,13.32,13.32,9,5.7,KZ,1669013307
556,eyl,7.9803,49.8164,84.2,84.2,49,16.62,SO,1669013308
557,dhrangadhra,22.9833,71.4667,85.19,85.19,0,7.47,IN,1669013308
558,mandapam,9.2833,79.1167,78.91,78.91,57,3.83,IN,1669013309
559,furukawa,38.5717,140.9556,60.55,60.55,24,1.03,JP,1669013310
560,kosh-agach,50.0,88.6667,19.8,19.8,55,1.79,RU,1669013310
561,netolice,49.0493,14.197,39.04,37.45,100,13.22,CZ,1669013311
562,san rafael,-34.6177,-68.3301,56.61,56.61,6,5.35,AR,1669013305
563,diu,20.7141,70.9822,84.61,84.61,0,13.11,IN,1669013312
564,kharp,66.8014,65.8081,3.6,3.6,11,10.92,RU,1669013313
565,syamzha,60.0158,41.0614,14.31,14.31,5,0.18,RU,1669013313
566,watsa,3.0372,29.5355,71.24,71.24,85,2.53,CD,1669013314
567,praia,14.9215,-23.5087,73.94,73.94,40,16.11,CV,1669013314
568,padang,-0.9492,100.3543,86.05,86.05,15,6.11,ID,1669013315
569,trincomalee,8.5711,81.2335,84.09,84.09,6,4.65,LK,1669013316
570,bull savanna,17.8868,-77.5902,72.91,72.91,100,5.73,JM,1669013317
571,wageningen,51.9667,5.6667,39.11,34.07,75,5.75,NL,1669013318
572,katete,-0.7818,29.7544,63.54,63.54,100,0.78,UG,1669013318
573,kozhevnikovo,56.2589,83.9714,2.25,2.25,20,5.99,RU,1669013319
574,sechura,-5.5569,-80.8222,63.5,63.5,1,7.65,PE,1669013320
575,manicore,-5.8092,-61.3003,75.7,75.7,91,2.42,BR,1669013320
576,volksrust,-27.3654,29.8818,68.54,68.54,59,6.73,ZA,1669013321
